scenario_index,gene,T,processing_mean,decay_mean,peak_fraction,dt,rise_50_change,rise_class_changed,rise_sign_changed,fall_50_change,fall_class_changed,fall_sign_changed,peak_change,max_normalized_signal_change
830,mlpt,0.03,1.0,0.01,0.75,0.0005,-1.611886969636947e-07,False,False,3.2189767362744703e-07,False,False,-1.1402621196289053e-07,1.5269495110548092e-06
830,mlpt,0.03,1.0,0.01,0.75,0.00025,-1.1245172261854092e-07,False,False,1.949277157464735e-07,False,False,-7.648340332323377e-08,1.6533679411123714e-06
831,mlpt,0.03,1.0,0.03,0.25,0.0005,1.6134297953218635e-08,False,False,9.061926301804236e-08,False,False,-2.727545288504782e-09,5.520931483857239e-07
831,mlpt,0.03,1.0,0.03,0.25,0.00025,-7.56374968213791e-09,False,False,2.5199056622696604e-07,False,False,-6.554265429169399e-08,6.857103867080605e-07
847,mlpt,0.03,3.0,0.01,0.5,0.0005,1.3801714595978662e-07,False,False,-1.6661612330636508e-06,False,False,7.148070627459183e-07,6.933016309940143e-07
847,mlpt,0.03,3.0,0.01,0.5,0.00025,1.3086918817855828e-07,False,False,-1.6023047995893656e-06,False,False,6.887132491915785e-07,7.31804319031859e-07
849,mlpt,0.03,3.0,0.03,0.25,0.0005,1.7765502138508173e-08,False,False,-1.1072011063539833e-06,False,False,4.856524167868204e-07,4.7666884223085404e-07
849,mlpt,0.03,3.0,0.03,0.25,0.00025,-1.7003195060586417e-08,False,False,-1.1070291674464272e-06,False,False,4.855011466792692e-07,5.86822026277245e-07
853,mlpt,0.03,3.0,0.1,0.5,0.0005,3.2592832553083456e-08,False,False,-5.09144361749217e-07,False,False,1.8731772113891182e-07,3.138017974357865e-07
853,mlpt,0.03,3.0,0.1,0.5,0.00025,4.339401805464674e-08,False,False,-6.644662446601141e-07,False,False,2.552554854420505e-07,4.207955477397718e-07
882,mlpt,0.1,0.03,0.01,0.25,0.0005,2.2365286978312526e-07,False,False,-5.351425707189779e-07,False,False,1.8283853921903796e-06,2.448294400325679e-06
882,mlpt,0.1,0.03,0.01,0.25,0.00025,2.2509654043836869e-07,False,False,-5.373859458712889e-07,False,False,1.7068364704849186e-06,2.520599133082335e-06
883,mlpt,0.1,0.03,0.01,0.5,0.0005,7.031833329160242e-09,False,False,5.4220456111031545e-09,False,False,4.762373550203092e-09,6.039405584731816e-07
883,mlpt,0.1,0.03,0.01,0.5,0.00025,2.177899260068228e-08,False,False,-3.4169338261613724e-09,False,False,6.250498173730745e-09,7.556271059763753e-07
884,mlpt,0.1,0.03,0.01,0.75,0.0005,6.002011776473637e-09,False,False,-3.638849702461422e-09,False,False,-3.0451880851413426e-06,1.9904733075809533e-06
884,mlpt,0.1,0.03,0.01,0.75,0.00025,-4.1319847710052926e-08,False,False,1.245996990827114e-08,False,False,-3.4959169504834853e-06,2.508223383088093e-06
887,mlpt,0.1,0.03,0.03,0.75,0.0005,9.878107823033111e-09,False,False,-1.273419267255882e-08,False,False,-3.6742723301085023e-06,1.9904733075809533e-06
887,mlpt,0.1,0.03,0.03,0.75,0.00025,-3.9865290910393036e-08,False,False,1.5620534032922961e-09,False,False,-4.2826234061786594e-06,2.508223383088093e-06
900,mlpt,0.1,0.1,0.01,0.25,0.0005,7.385113860291365e-08,False,False,-2.0728638563255464e-07,False,False,2.6874564076039e-07,1.2487197511151793e-06
900,mlpt,0.1,0.1,0.01,0.25,0.00025,7.648119738478537e-08,False,False,-2.154897145376089e-07,False,False,2.745708059994495e-07,1.5599940446919813e-06
901,mlpt,0.1,0.1,0.01,0.5,0.0005,-1.3402963386279637e-07,False,False,1.1156341190622643e-07,False,False,-1.3504449468404456e-09,1.4570738121610916e-06
901,mlpt,0.1,0.1,0.01,0.5,0.00025,-1.062804237663903e-07,False,False,8.25844835381645e-08,False,False,-4.6125711236633116e-10,1.4571337645374882e-06
902,mlpt,0.1,0.1,0.01,0.75,0.0005,-3.7812722768898466e-08,False,False,2.680063965975442e-07,False,False,-1.0725894004671999e-06,1.2571245263659492e-06
902,mlpt,0.1,0.1,0.01,0.75,0.00025,-1.8796090304681878e-07,False,False,3.413283964025758e-07,False,False,-1.045101195643744e-06,1.776998788782791e-06
920,mlpt,0.1,0.3,0.01,0.75,0.0005,-4.0783339951694364e-08,False,False,2.966333120077609e-07,False,False,6.976794868825825e-08,7.809403772540691e-07
920,mlpt,0.1,0.3,0.01,0.75,0.00025,-5.6304628095332765e-08,False,False,3.075524755810806e-07,False,False,8.706142933575384e-08,9.757303353064017e-07
938,mlpt,0.1,1.0,0.01,0.75,0.0005,-8.425550178121216e-08,False,False,7.245476781915505e-08,False,False,-8.526518837747958e-08,4.970639769785734e-07
938,mlpt,0.1,1.0,0.01,0.75,0.00025,-1.0654971991947565e-07,False,False,2.0712483624930889e-07,False,False,-1.1482844766252769e-07,1.0356066525440966e-06
941,mlpt,0.1,1.0,0.03,0.75,0.0005,1.1351400474278461e-07,False,False,-5.357907273129126e-07,False,False,1.257103703482818e-07,1.0080812816726237e-06
941,mlpt,0.1,1.0,0.03,0.75,0.00025,5.055534678909124e-08,False,False,-1.9467826214980555e-07,False,False,2.6537195009696847e-08,1.2464419858471132e-06
960,mlpt,0.1,3.0,0.1,0.25,0.0005,3.315084843625877e-09,False,False,8.378625873470963e-07,False,False,-3.939005142885796e-07,4.6172150286460933e-07
960,mlpt,0.1,3.0,0.1,0.25,0.00025,4.907739629457248e-09,False,False,8.412016652501603e-07,False,False,-4.0106172413591906e-07,5.730278088908469e-07
971,mlpt,0.1,3.0,3.0,0.75,0.0005,-9.443955250980351e-08,False,False,6.048602667618752e-07,False,False,-2.5603305607163618e-06,3.018063783333247e-07
971,mlpt,0.1,3.0,3.0,0.75,0.00025,-9.856951266144776e-08,False,False,7.512458402025857e-07,False,False,-3.2000990575625776e-06,3.773094136017008e-07
972,mlpt,0.3,0.01,0.01,0.25,0.0005,1.513558632853379e-07,False,False,-2.2230445913783148e-08,False,False,3.1491556613319482e-06,1.8057635857715582e-06
972,mlpt,0.3,0.01,0.01,0.25,0.00025,2.64625123589865e-07,False,False,-1.341615607350008e-07,False,False,4.049862302048235e-06,2.2569453667908856e-06
990,mlpt,0.3,0.03,0.01,0.25,0.0005,1.0011119550012992e-07,False,False,8.205669579930408e-08,False,False,1.1390412062613209e-06,1.618476105719191e-06
990,mlpt,0.3,0.03,0.01,0.25,0.00025,1.1802771676672208e-07,False,False,1.3788204869524812e-07,False,False,1.2608827490052932e-06,2.0488404567919893e-06
991,mlpt,0.3,0.03,0.01,0.5,0.0005,3.750914999677002e-07,False,False,-3.8034795965362356e-07,False,False,1.5117553493759761e-09,1.8677867977823226e-06
991,mlpt,0.3,0.03,0.01,0.5,0.00025,3.829433499157042e-07,False,False,-3.823919265382586e-07,False,False,1.3089068336136211e-09,1.8677869519923007e-06
992,mlpt,0.3,0.03,0.01,0.75,0.0005,2.249813840435322e-08,False,False,8.144756730946862e-08,False,False,-1.3688834168759656e-06,1.4591185712176102e-06
